booking_id,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_date_day_of_month,market_segment_type,avg_price_per_room,booking_status,hotel,country,email,arrival_date_week_number
INN00063,0,2,192,2018,6,24,Offline,95.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00064,0,1,2,2017,9,10,Complementary,0.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00065,2,1,86,2018,12,18,Offline,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00066,0,3,30,2018,10,5,Online,157.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00067,0,2,179,2018,6,3,Online,97.7,Not_Canceled,Unknown,Unknown,Unknown,
INN00068,0,2,26,2018,4,15,Online,142.0,Canceled,Unknown,Unknown,Unknown,
INN00069,0,1,55,2018,4,6,Offline,80.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00070,1,2,74,2018,4,25,Online,85.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00071,0,3,143,2018,8,25,Offline,100.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00072,1,0,34,2018,11,14,Online,88.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00073,1,1,30,2018,8,29,Online,122.85,Not_Canceled,Unknown,Unknown,Unknown,
INN00074,0,2,177,2018,6,3,Online,100.0,Canceled,Unknown,Unknown,Unknown,
INN00075,2,3,34,2017,10,25,Offline,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00076,1,4,18,2018,3,9,Online,116.8,Not_Canceled,Unknown,Unknown,Unknown,
INN00077,1,1,267,2018,12,31,Online,121.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00078,1,2,64,2018,6,27,Online,111.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00079,2,5,155,2018,6,28,Online,121.55,Canceled,Unknown,Unknown,Unknown,
INN00080,0,5,46,2018,3,29,Offline,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00081,0,2,83,2018,4,1,Online,159.3,Canceled,Unknown,Unknown,Unknown,
INN00082,0,5,128,2018,10,11,Online,132.3,Canceled,Unknown,Unknown,Unknown,
INN00083,2,0,20,2018,12,25,Online,88.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00084,1,4,40,2018,3,14,Online,98.82,Not_Canceled,Unknown,Unknown,Unknown,
INN00085,1,2,46,2018,3,4,Online,98.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00086,1,0,1,2018,10,17,Online,150.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00087,2,3,196,2018,9,4,Online,96.05,Not_Canceled,Unknown,Unknown,Unknown,
INN00088,0,2,188,2018,6,15,Online,130.0,Canceled,Unknown,Unknown,Unknown,
INN00089,0,1,17,2018,12,10,Online,95.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00090,0,3,146,2018,8,9,Offline,113.56,Not_Canceled,Unknown,Unknown,Unknown,
INN00091,1,3,110,2018,5,5,Online,101.58,Not_Canceled,Unknown,Unknown,Unknown,
INN00092,1,2,68,2018,3,18,Online,105.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00093,2,1,73,2018,4,9,Online,115.8,Not_Canceled,Unknown,Unknown,Unknown,
INN00094,0,1,92,2018,5,19,Online,149.4,Not_Canceled,Unknown,Unknown,Unknown,
INN00095,2,5,171,2018,8,30,Online,111.59,Canceled,Unknown,Unknown,Unknown,
INN00096,0,2,134,2018,8,4,Online,130.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00097,0,2,320,2018,8,18,Online,115.0,Canceled,Unknown,Unknown,Unknown,
INN00098,0,4,118,2018,4,13,Online,90.95,Not_Canceled,Unknown,Unknown,Unknown,
INN00099,0,3,30,2018,11,17,Online,76.08,Not_Canceled,Unknown,Unknown,Unknown,
INN00100,1,3,30,2018,12,22,Online,156.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00101,1,0,189,2018,10,23,Online,85.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00102,1,2,55,2018,5,13,Online,159.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00103,0,4,55,2018,12,13,Online,74.8,Not_Canceled,Unknown,Unknown,Unknown,
INN00104,0,1,16,2017,10,31,Online,95.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00105,0,3,24,2017,10,8,Online,107.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00106,0,3,8,2018,2,16,Offline,64.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00107,1,4,10,2017,11,2,Online,82.95,Not_Canceled,Unknown,Unknown,Unknown,
INN00108,1,3,0,2017,9,21,Online,155.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00109,0,1,12,2018,6,30,Online,101.68,Not_Canceled,Unknown,Unknown,Unknown,
INN00110,2,1,32,2017,9,5,Online,94.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00111,0,2,182,2018,9,30,Online,117.9,Canceled,Unknown,Unknown,Unknown,
INN00112,1,0,1,2018,6,27,Online,127.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00113,0,3,122,2018,6,16,Online,116.1,Not_Canceled,Unknown,Unknown,Unknown,
INN00114,2,3,40,2018,6,30,Online,117.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00115,2,2,116,2018,6,26,Online,184.24,Canceled,Unknown,Unknown,Unknown,
INN00116,2,2,123,2018,8,13,Online,155.7,Not_Canceled,Unknown,Unknown,Unknown,
INN00117,2,5,40,2018,4,22,Online,135.76,Canceled,Unknown,Unknown,Unknown,
INN00118,2,5,105,2018,11,12,Online,102.83,Not_Canceled,Unknown,Unknown,Unknown,
INN00119,0,1,443,2018,4,29,Online,65.0,Canceled,Unknown,Unknown,Unknown,
INN00120,2,3,2,2017,11,14,Online,103.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00121,0,3,317,2018,9,1,Online,106.2,Canceled,Unknown,Unknown,Unknown,
INN00122,0,2,286,2018,9,16,Offline,58.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00123,1,3,68,2018,3,10,Online,73.95,Canceled,Unknown,Unknown,Unknown,
INN00124,0,3,148,2018,5,5,Online,105.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00125,2,0,68,2018,4,24,Online,133.2,Not_Canceled,Unknown,Unknown,Unknown,
INN00126,0,2,30,2018,3,30,Offline,85.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00127,0,1,14,2018,11,3,Online,112.0,Canceled,Unknown,Unknown,Unknown,
INN00128,0,2,110,2018,10,14,Online,190.8,Canceled,Unknown,Unknown,Unknown,
INN00129,2,3,117,2018,6,5,Offline,110.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00130,1,4,85,2018,7,13,Online,91.48,Not_Canceled,Unknown,Unknown,Unknown,
INN00131,0,2,1,2018,10,20,Online,135.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00132,1,2,25,2018,10,17,Online,129.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00133,2,4,289,2018,12,28,Online,70.55,Canceled,Unknown,Unknown,Unknown,
INN00134,1,4,28,2017,10,19,Offline,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00135,0,4,80,2018,3,29,Online,72.25,Not_Canceled,Unknown,Unknown,Unknown,
INN00136,0,1,11,2017,10,9,Online,155.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00137,1,0,162,2018,7,25,Online,121.5,Canceled,Unknown,Unknown,Unknown,
INN00138,2,5,155,2018,6,28,Online,90.95,Not_Canceled,Unknown,Unknown,Unknown,
INN00139,2,2,82,2018,5,22,Online,109.65,Not_Canceled,Unknown,Unknown,Unknown,
INN00140,2,4,27,2018,4,15,Online,142.72,Canceled,Unknown,Unknown,Unknown,
INN00141,1,2,13,2018,5,9,Offline,90.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00142,0,2,245,2018,6,17,Online,75.0,Canceled,Unknown,Unknown,Unknown,
INN00143,0,2,11,2018,11,18,Online,111.0,Canceled,Unknown,Unknown,Unknown,
INN00144,2,2,266,2018,10,30,Online,86.7,Not_Canceled,Unknown,Unknown,Unknown,
INN00145,1,0,39,2018,3,28,Online,117.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00146,0,2,13,2018,6,1,Complementary,0.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00147,0,4,112,2018,5,4,Online,101.58,Not_Canceled,Unknown,Unknown,Unknown,
INN00148,1,2,88,2018,4,8,Online,58.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00149,0,1,56,2018,6,8,Offline,120.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00150,2,3,73,2018,4,7,Online,107.1,Canceled,Unknown,Unknown,Unknown,
INN00151,1,1,80,2018,5,2,Online,126.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00152,0,3,130,2018,9,29,Online,139.5,Canceled,Unknown,Unknown,Unknown,
INN00153,1,3,69,2018,4,4,Online,80.75,Not_Canceled,Unknown,Unknown,Unknown,
INN00154,0,2,273,2017,7,17,Online,109.0,Canceled,Unknown,Unknown,Unknown,
INN00155,0,1,55,2018,4,6,Offline,104.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00156,0,3,4,2018,11,1,Corporate,65.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00157,0,3,97,2018,5,24,Online,140.4,Not_Canceled,Unknown,Unknown,Unknown,
INN00158,0,3,44,2018,2,17,Offline,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00159,0,1,31,2018,4,14,Online,94.5,Canceled,Unknown,Unknown,Unknown,
INN00160,1,0,0,2018,6,5,Online,109.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00161,2,2,62,2018,11,12,Online,105.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00162,2,2,86,2018,4,17,Online,107.95,Not_Canceled,Unknown,Unknown,Unknown,
INN00163,2,2,3,2018,10,7,Online,215.6,Not_Canceled,Unknown,Unknown,Unknown,
INN00164,1,1,197,2018,8,1,Online,85.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00165,0,2,143,2018,7,12,Online,105.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00166,2,1,23,2018,1,2,Online,1.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00167,0,2,8,2018,6,15,Online,156.0,Canceled,Unknown,Unknown,Unknown,
INN00168,0,2,13,2018,11,16,Online,73.15,Not_Canceled,Unknown,Unknown,Unknown,
INN00169,1,2,280,2018,9,19,Online,110.0,Canceled,Unknown,Unknown,Unknown,
INN00170,1,0,11,2017,9,13,Online,87.4,Not_Canceled,Unknown,Unknown,Unknown,
INN00171,0,2,317,2018,9,15,Online,120.0,Canceled,Unknown,Unknown,Unknown,
INN00172,1,2,185,2018,12,16,Online,79.2,Canceled,Unknown,Unknown,Unknown,
INN00173,1,3,160,2018,6,30,Online,90.95,Not_Canceled,Unknown,Unknown,Unknown,
INN00174,0,4,104,2018,10,18,Online,91.48,Not_Canceled,Unknown,Unknown,Unknown,
INN00175,0,1,11,2018,11,5,Online,150.0,Canceled,Unknown,Unknown,Unknown,
INN00176,0,1,2,2018,3,22,Online,89.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00177,1,4,14,2018,8,17,Online,91.43,Not_Canceled,Unknown,Unknown,Unknown,
INN00178,0,2,22,2018,5,20,Offline,140.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00179,2,5,37,2017,10,24,Online,87.78,Not_Canceled,Unknown,Unknown,Unknown,
INN00180,0,2,292,2018,7,21,Online,115.0,Canceled,Unknown,Unknown,Unknown,
INN00181,0,3,11,2017,9,9,Online,80.85,Not_Canceled,Unknown,Unknown,Unknown,
INN00182,1,3,86,2018,3,31,Online,82.45,Not_Canceled,Unknown,Unknown,Unknown,
INN00183,0,1,109,2018,10,11,Online,108.0,Canceled,Unknown,Unknown,Unknown,
INN00184,1,1,72,2018,4,2,Online,96.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00185,1,5,196,2018,8,22,Online,99.45,Canceled,Unknown,Unknown,Unknown,
INN00186,0,2,56,2018,5,13,Online,140.4,Not_Canceled,Unknown,Unknown,Unknown,
INN00187,1,3,189,2018,8,8,Offline,72.25,Not_Canceled,Unknown,Unknown,Unknown,
INN00188,1,4,126,2018,8,15,Online,126.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00189,2,3,303,2018,8,19,Online,78.0,Canceled,Unknown,Unknown,Unknown,
INN00190,2,2,81,2018,11,6,Online,146.6,Not_Canceled,Unknown,Unknown,Unknown,
INN00191,1,2,54,2018,10,10,Online,118.8,Canceled,Unknown,Unknown,Unknown,
INN00192,0,1,15,2018,10,6,Online,145.0,Canceled,Unknown,Unknown,Unknown,
INN00193,0,4,86,2018,4,6,Online,84.58,Canceled,Unknown,Unknown,Unknown,
INN00194,1,2,161,2018,3,25,Online,130.0,Canceled,Unknown,Unknown,Unknown,
INN00195,4,10,147,2018,8,3,Online,118.88,Canceled,Unknown,Unknown,Unknown,
INN00196,1,2,92,2018,5,30,Offline,101.52,Not_Canceled,Unknown,Unknown,Unknown,
INN00197,0,1,87,2017,9,11,Corporate,100.0,Canceled,Unknown,Unknown,Unknown,
INN00198,2,1,109,2018,3,20,Offline,58.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00199,0,4,127,2018,3,23,Offline,61.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00200,1,2,418,2018,9,26,Online,107.0,Canceled,Unknown,Unknown,Unknown,
INN00201,1,4,156,2018,8,24,Online,87.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00202,0,2,80,2017,7,16,Online,76.5,Canceled,Unknown,Unknown,Unknown,
INN00203,2,2,211,2018,12,16,Online,63.75,Canceled,Unknown,Unknown,Unknown,
INN00204,1,2,273,2018,5,13,Online,95.0,Canceled,Unknown,Unknown,Unknown,
INN00205,2,1,58,2018,11,19,Offline,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00206,0,3,433,2018,9,8,Online,70.0,Canceled,Unknown,Unknown,Unknown,
INN00207,1,3,111,2018,5,2,Online,101.58,Not_Canceled,Unknown,Unknown,Unknown,
INN00208,2,3,34,2018,8,21,Offline,85.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00209,2,4,17,2018,12,3,Online,98.39,Not_Canceled,Unknown,Unknown,Unknown,
INN00210,0,0,4,2018,2,27,Complementary,0.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00211,0,3,6,2017,9,22,Online,106.07,Not_Canceled,Unknown,Unknown,Unknown,
INN00212,1,1,32,2018,7,18,Offline,105.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00213,0,1,4,2017,9,22,Online,145.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00214,2,1,195,2018,8,13,Online,106.03,Canceled,Unknown,Unknown,Unknown,
INN00215,2,2,119,2018,8,13,Online,114.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00216,1,1,13,2018,12,5,Online,88.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00217,0,2,59,2017,10,15,Online,89.25,Not_Canceled,Unknown,Unknown,Unknown,
INN00218,2,5,78,2018,3,20,Online,86.32,Not_Canceled,Unknown,Unknown,Unknown,
INN00219,0,3,335,2018,10,13,Offline,90.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00220,2,5,103,2017,8,22,Online,55.96,Not_Canceled,Unknown,Unknown,Unknown,
INN00221,0,2,0,2018,6,8,Online,109.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00222,0,1,118,2018,3,1,Offline,86.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00223,1,5,56,2018,9,5,Online,118.95,Not_Canceled,Unknown,Unknown,Unknown,
INN00224,0,2,107,2018,6,10,Offline,130.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00225,1,3,70,2018,4,14,Online,90.56,Not_Canceled,Unknown,Unknown,Unknown,
INN00226,0,2,76,2018,4,1,Online,87.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00227,2,2,144,2018,5,27,Online,177.65,Canceled,Unknown,Unknown,Unknown,
INN00228,2,2,4,2017,9,19,Online,200.75,Not_Canceled,Unknown,Unknown,Unknown,
INN00229,0,2,15,2018,3,18,Online,127.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00230,1,2,32,2018,2,5,Online,72.9,Canceled,Unknown,Unknown,Unknown,
INN00231,1,1,49,2018,5,7,Online,159.3,Canceled,Unknown,Unknown,Unknown,
INN00232,1,3,77,2018,5,12,Online,135.15,Not_Canceled,Unknown,Unknown,Unknown,
INN00233,0,2,22,2018,10,28,Offline,90.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00234,1,0,0,2017,10,18,Online,114.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00235,0,1,58,2018,6,21,Online,125.1,Not_Canceled,Unknown,Unknown,Unknown,
INN00236,2,6,4,2017,8,14,Online,95.13,Not_Canceled,Unknown,Unknown,Unknown,
INN00237,0,2,117,2018,4,29,Online,105.84,Canceled,Unknown,Unknown,Unknown,
INN00238,1,3,36,2018,12,26,Online,102.0,Canceled,Unknown,Unknown,Unknown,
INN00239,2,2,35,2018,12,2,Online,74.8,Not_Canceled,Unknown,Unknown,Unknown,
INN00240,1,0,31,2018,4,24,Online,94.5,Canceled,Unknown,Unknown,Unknown,
INN00241,2,4,79,2018,6,16,Online,120.6,Not_Canceled,Unknown,Unknown,Unknown,
INN00242,1,2,1,2017,10,9,Online,139.33,Not_Canceled,Unknown,Unknown,Unknown,
INN00243,0,2,21,2017,9,3,Online,105.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00244,0,2,12,2018,9,14,Corporate,100.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00245,1,0,33,2018,2,8,Online,80.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00246,0,2,164,2017,10,2,Offline,100.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00247,0,3,78,2018,3,24,Online,105.3,Not_Canceled,Unknown,Unknown,Unknown,
INN00248,0,4,18,2018,5,31,Online,112.8,Canceled,Unknown,Unknown,Unknown,
INN00249,1,2,21,2018,8,15,Online,151.0,Canceled,Unknown,Unknown,Unknown,
INN00250,1,3,0,2017,11,9,Online,91.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00251,2,1,152,2018,8,13,Online,146.7,Canceled,Unknown,Unknown,Unknown,
INN00252,2,3,43,2017,10,2,Offline,58.4,Not_Canceled,Unknown,Unknown,Unknown,
INN00253,0,4,177,2018,7,26,Online,80.75,Canceled,Unknown,Unknown,Unknown,
INN00254,1,1,47,2018,5,21,Offline,76.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00255,0,3,57,2018,9,7,Online,140.13,Not_Canceled,Unknown,Unknown,Unknown,
INN00256,2,4,60,2017,11,15,Online,76.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00257,0,1,0,2017,9,16,Online,200.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00258,0,2,102,2017,10,16,Online,101.5,Canceled,Unknown,Unknown,Unknown,
INN00259,0,3,71,2018,10,18,Online,108.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00260,2,3,111,2018,7,23,Online,189.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00261,1,1,1,2018,6,11,Online,166.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00262,1,1,4,2018,1,16,Online,67.5,Not_Canceled,Unknown,Unknown,Unknown,
INN00263,1,3,25,2017,9,14,Online,78.54,Not_Canceled,Unknown,Unknown,Unknown,
INN00264,2,2,209,2018,11,6,Online,152.1,Canceled,Unknown,Unknown,Unknown,
INN00265,2,1,93,2018,10,15,Online,115.0,Canceled,Unknown,Unknown,Unknown,
INN00266,2,5,53,2017,9,2,Online,66.53,Not_Canceled,Unknown,Unknown,Unknown,
INN00267,0,2,1,2017,8,12,Complementary,0.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00268,2,1,4,2017,8,23,Complementary,0.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00269,0,3,302,2018,12,29,Online,90.3,Canceled,Unknown,Unknown,Unknown,
INN00270,0,2,122,2018,4,15,Offline,85.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00271,0,1,16,2018,3,11,Corporate,75.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00272,2,4,28,2018,8,28,Online,115.37,Canceled,Unknown,Unknown,Unknown,
INN00273,1,2,161,2018,3,25,Online,130.0,Canceled,Unknown,Unknown,Unknown,
INN00274,0,2,57,2018,12,9,Online,126.0,Not_Canceled,Unknown,Unknown,Unknown,
INN00275,1,0,19,2018,6,12,Online,94.35,Not_Canceled,Unknown,Unknown,Unknown,
INN00276,2,4,109,2018,7,6,Online,118.46,Not_Canceled,Unknown,Unknown,Unknown,
INN00277,0,2,239,2018,6,15,Online,90.6,Canceled,Unknown,Unknown,Unknown,
INN00278,2,1,33,2018,3,5,Online,82.9,Not_Canceled,Unknown,Unknown,Unknown,
INN00279,0,3,11,2017,8,18,Online,95.33,Not_Canceled,Unknown,Unknown,Unknown,
INN00280,2,5,40,2018,4,21,Online,135.64,Not_Canceled,Unknown,Unknown,Unknown,
INN00281,1,1,45,2018,6,18,Offline,122.4,Not_Canceled,Unknown,Unknown,Unknown,
INN00282,1,3,41,2018,5,9,Online,116.1,Canceled,Unknown,Unknown,Unknown,
INN00283,0,4,167,2018,6,28,Online,62.18,Canceled,Unknown,Unknown,Unknown,
INN00284,0,4,62,2018,3,9,Online,63.75,Canceled,Unknown,Unknown,Unknown,
INN00285,1,4,113,2018,9,7,Online,118.8,Canceled,Unknown,Unknown,Unknown,
